2001:250:c3f::,2001:250:dff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:e00::,2001:250:e02:ffff:ffff:ffff:ffff:ffff,138375,CNGI-HHT-IX-AS-AP CERNET2 regional IX at Inner Mongolia University
2001:250:e03::,2001:250:e03:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:e04::,2001:250:e0c:ffff:ffff:ffff:ffff:ffff,138375,CNGI-HHT-IX-AS-AP CERNET2 regional IX at Inner Mongolia University
2001:250:e0d::,2001:250:e0d:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:e0e::,2001:250:e22:ffff:ffff:ffff:ffff:ffff,138375,CNGI-HHT-IX-AS-AP CERNET2 regional IX at Inner Mongolia University
2001:250:e23::,2001:250:e23:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:e24::,2001:250:e29:ffff:ffff:ffff:ffff:ffff,138375,CNGI-HHT-IX-AS-AP CERNET2 regional IX at Inner Mongolia University
2001:250:e2a::,2001:250:1000:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1001::,2001:250:101e:ffff:ffff:ffff:ffff:ffff,24353,CNGI-XA-IX-AS-AP CERNET2 IX at Xian Jiaotong University
2001:250:101f::,2001:250:101f:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1020::,2001:250:1022:ffff:ffff:ffff:ffff:ffff,24353,CNGI-XA-IX-AS-AP CERNET2 IX at Xian Jiaotong University
2001:250:1023::,2001:250:1023:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1024::,2001:250:1034:ffff:ffff:ffff:ffff:ffff,24353,CNGI-XA-IX-AS-AP CERNET2 IX at Xian Jiaotong University
2001:250:1035::,2001:250:13ff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1400::,2001:250:1406:ffff:ffff:ffff:ffff:ffff,24354,CNGI-LZH-IX-AS-AP CERNET2 IX at Lanzhou University
2001:250:1407::,2001:250:1407:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1408::,2001:250:1428:ffff:ffff:ffff:ffff:ffff,24354,CNGI-LZH-IX-AS-AP CERNET2 IX at Lanzhou University
2001:250:1429::,2001:250:1bff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1c00::,2001:250:1c0b:ffff:ffff:ffff:ffff:ffff,138376,CNGI-YCH-IX-AS-AP CERNET2 regional IX at Ningxia University
2001:250:1c0c::,2001:250:1c0c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1c0d::,2001:250:1c0e:ffff:ffff:ffff:ffff:ffff,138376,CNGI-YCH-IX-AS-AP CERNET2 regional IX at Ningxia University
2001:250:1c0f::,2001:250:1c0f:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1c10::,2001:250:1c10:ffff:ffff:ffff:ffff:ffff,138376,CNGI-YCH-IX-AS-AP CERNET2 regional IX at Ningxia University
2001:250:1c11::,2001:250:1dff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:1e00::,2001:250:1e0e:ffff:ffff:ffff:ffff:ffff,138377,CNGI-XNN-IX-AS-AP CERNET2 regional IX at Qinghai Normal University
